stratum_id,risk_factor,count,total_studies,percentage
male,", Triggers, or Risk Factors:**",5,23,21.73913043478261
male,", Triggers, or Risk Factors**:",4,23,17.391304347826086
male,/Triggers/Risk Factors**:,3,23,13.043478260869565
male,"/Triggers/Risk Factors**: Chronic unpredictable mild stress (CUMS) is identified as a trigger for depression-like behaviors in mice. Molecularly, reduced expression of miR-532-5p and increased inflammation markers (IL-6, IL-1β, TNF-α, MCP-1) and nitric oxide synthase (NOS) are associated with depression-like behaviors.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: The abstract does not explicitly state causes or triggers for depression but focuses on treatment-resistant depression (TRD), which is a subset characterized by lack of response to conventional treatments.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: The study investigates why individuals with autism perceive they develop social anxiety (SA) and identifies ""causal influences for SA"" and ""anxiety-provoking social situations"" as relevant themes. However, specific detailed causes or triggers are not mentioned in the abstract.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: The study does not explicitly mention specific causes or risk factors for depression. However, it highlights the role of neurogenesis in counteracting stress-related effects in depression.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: The abstract suggests that both socioeconomic and health-related factors influence the development of depression. However, the specific factors or mechanisms are not detailed, as this is an exploratory study aimed at identifying causal models rather than confirming specific hypotheses.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors:** Depression symptoms in mood disorders may be influenced by biological processes such as complement activation, immune response, and lipid metabolism, as suggested by associations with specific plasma protein markers.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors for Depression:** The study does not discuss causes, triggers, or risk factors for Major Depressive Disorder (MDD) beyond the general diagnosis.",1,23,4.3478260869565215
male,", triggers, or risk factors for depression**: Chronic Unpredictable Mild Stress (CUMS) is identified as a trigger for depression via hippocampal neuronal apoptosis, with Poly (ADP-ribose) polymerase-1 (PARP1) playing a key role in the process.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors:** The study does not specify causes or risk factors for anxiety but focuses on male patients undergoing coronary angiography, implying that the procedure may act as a trigger for anxiety.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: Depression in men may present differently based on adherence to masculine norms, leading to the conceptualization of ""masculine depression."" This may differ across age groups.",1,23,4.3478260869565215
male,"/Triggers/Risk Factors**: Fathers experience significant depression, anxiety, and perceived stress following a spouse's abortion. Risk factors include paternal age, education, job, marriage duration, type of abortion, history/number of abortions, presence of unwanted pregnancy, number of children, and economic status.",1,23,4.3478260869565215
general_population,", Triggers, or Risk Factors**:",7,47,14.893617021276595
general_population,", Triggers, or Risk Factors:**",5,47,10.638297872340425
general_population,/Triggers/Risk Factors**:,5,47,10.638297872340425
general_population,/Triggers/Risk Factors:**,2,47,4.25531914893617
general_population,", Triggers, or Risk Factors for Depression/Anxiety:**",2,47,4.25531914893617
general_population,for Depression Severity Reporting Discrepancies:**,2,47,4.25531914893617
general_population,", triggers, or risk factors:**",2,47,4.25531914893617
general_population,", triggers, or risk factors for depression/anxiety:**",2,47,4.25531914893617
general_population,", Triggers, or Risk Factors**: Early life stress, specifically maternal separation (MS), is identified as a major risk factor for developing psychiatric disorders and cognitive impairments in adulthood.",1,47,2.127659574468085
general_population,/Triggers/Risk Factors:** The abstract does not discuss specific causes or risk factors contributing to major depression (MD).,1,47,2.127659574468085
general_population,", triggers, or risk factors for depression:**",1,47,2.127659574468085
general_population,", Triggers, or Risk Factors**: High levels of burnout, stress, and depression among healthcare professionals are linked to the COVID-19 pandemic, inadequate recruitment in government hospitals, healthcare professional shortages, inefficient resource distribution, attacks on physicians, and challenging rural healthcare conditions.",1,47,2.127659574468085
general_population,", triggers, or risk factors:** Depression is associated with increased death anxiety, which in turn contributes to poorer quality of life in older adults with coal workers' pneumoconiosis.",1,47,2.127659574468085
