stratum_id,symptom,count,total_studies,percentage
male,"were measured through various tests (e.g., FST, SPT, TST, SIT). Molecular outcomes include reductions in cytokine levels (IL-6, IL-1β, TNF-α, MCP-1), NOS activity, and STAT3 signaling. Thus, both behavioral improvements and molecular shifts are considered measurable effects of miR-532-5p overexpression.",1,23,4.3478260869565215
male,"and coping strategies are major focuses. Specific outcomes or effects measured include ""chronicity,"" ""impact,"" and the effectiveness of coping strategies.",1,23,4.3478260869565215
male,") in the forced swim test, particularly at higher doses (5 and 10 mg/kg).",1,23,4.3478260869565215
male,"in mood disorders may be influenced by biological processes such as complement activation, immune response, and lipid metabolism, as suggested by associations with specific plasma protein markers.",1,23,4.3478260869565215
male,"atology-Self Rated (QIDS-SR). Findings indicated substantial reductions in depression scores in the immediate treatment group 1 week and 4 weeks after the intervention, with large effect sizes (Cohen d = 2.3-2.6). Clinically significant responses were observed in 71% of participants (≥50% reduction in GRID-HAMD scores), and remission was achieved in a majority at weeks 1 and 4 (58% and 54%, respectively).",1,23,4.3478260869565215
male,of depression (such as anhedonia).,1,23,4.3478260869565215
male,". Furthermore, biochemical analyses confirmed reduced neuronal damage and apoptosis in the hippocampus, with changes in apoptosis-related protein expression (e.g., upregulation of Bcl-2 and downregulation of Bax and cleaved-caspase-3).",1,23,4.3478260869565215
male,"persisted, an additional 6 infusions (one per day).",1,23,4.3478260869565215
male,focused therapies in randomized controlled trials.,1,23,4.3478260869565215
male,atic depression (MDD development).,1,23,4.3478260869565215
male,"decrease while resilience improves, demonstrating that fathers do recover and adapt post-abortion when resilience is factored in.",1,23,4.3478260869565215
general_population,(PHQ-9 > HAMD-17) is associated with:,2,47,4.25531914893617
general_population,"atology is associated with an increased likelihood of both first and recurrent cardiovascular disease (CVD) events, particularly in women.",1,47,2.127659574468085
general_population,driven pathway** where depression might drive cannabis use (not strongly supported in this study).,1,47,2.127659574468085
general_population,"subtypes (psychic vs. somatic) of generalized anxiety disorder (GAD), not specific causes or risk factors.",1,47,2.127659574468085
general_population,of Parkinson's disease (PD).,1,47,2.127659574468085
general_population,lasting >2 weeks. Major depressive disorder was diagnosed in 28% of analyzed patients. The predictive model was tested for goodness-of-fit and was moderately accurate (AUC = 0.70) in predicting depression risk.,1,47,2.127659574468085
general_population,Checklist-90 (SCL90).,1,47,2.127659574468085
general_population,"of binge eating, disordered eating, depression, anxiety, and impact of weight on quality of life.",1,47,2.127659574468085
